date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:18	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263ea0598-154%22	https://www.classcentral.com/robots.txt		(from )
08:39:20	664867/664867	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2005:39:18%20GMT	https://www.classcentral.com/	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/www.classcentral.com/index.html	(from )
08:39:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20Feb%202023%2005:39:20%20GMT	http://schema.org/WebSite	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
08:39:22	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/schema.org/WebSite.html	(from https://www.classcentral.com/)
08:39:23	9463/9463	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
08:39:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20Feb%202023%2005:39:24%20GMT	http://twitter.com/classcentral	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
08:39:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2016%20Feb%202023%2005:39:25%20GMT	http://www.linkedin.com/company/class-central	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
08:39:26	175450/175450	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Feb%202023%2005:39:25%20GMT	https://twitter.com/classcentral	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/twitter.com/classcentral.html	(from https://www.classcentral.com/)
08:39:27	1530/1530	---M--	999	error ('Request%20denied')	text/html	date:Thu,%2016%20Feb%202023%2005:39:26%20GMT	https://www.linkedin.com/company/class-central	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
08:39:29	132228/132228	---MCZ	200	added ('OK')	text/html	etag:W/%22ec38a97f14889466cfa03f9e241cd20b%22	https://github.com/classcentral	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/github.com/classcentral.html	(from https://www.classcentral.com/)
08:39:29	2206/2206	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/apple-touch-icon.png	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
08:39:30	975/975	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/favicon-32x32.png	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
08:39:31	731/731	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/favicon-16x16.png	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
08:39:32	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263ea0598-2a1%22	https://www.classcentral.com/site.webmanifest	/mnt/d/repos/playfield2/codingallstars/websites/codingallstars/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
